experiment,label,archive,cutoff,planned_epochs,last_epoch,best_epoch,map50_95,ap50,ap75,precision_at_025,recall_at_025,f1_at_025,best_f1_at_map_epoch,best_f1_threshold_at_map_epoch,tiny_recall,small_recall,medium_recall,large_recall,valid_total,train_total,generalization_gap,peak_f1_any_epoch,peak_f1_epoch,peak_f1_threshold,last_map50_95,last_f1_at_025,last_valid_total,last10_map_mean,last10_map_std,map_drop_best_to_last,warning_count_sum,nonfinite_gradient_epochs,max_finite_gradient_norm,median_images_per_second,peak_vram_gib,total_hours,attempts,return_codes,runner_completed,best_exists,last_exists,checkpoint_bytes,seed,learning_rate,fpn_channels,backbone_expansion,amp_initial_scale,amp_growth_interval,torch_version,cuda_build,gpu_name
r2_school6_fpn48_exp250,S6 FPN48 exp2.5 LR0.001,results.11.zip,50,70,50,17,0.2414547072374261,0.5274242162704468,0.1897950917482376,0.7218867924528302,0.4626733311834892,0.5639186400707478,0.569908857345581,0.2298583984375,0.0412844036697247,0.385510136257893,0.5981471770669463,0.714190093708166,1.5904209533085425,1.4910710000372551,0.09934995327128737,0.5722853541374207,20,0.20751953125,0.2277294456260278,0.5026161065861158,1.622261789937814,0.2270891019741975,0.003168323166934621,0.01372526161139831,0,0,3.883591663140755,40.786311800841915,0.3913702964782715,7.292494036527783,1,0,True,True,True,5014056,20260811,0.001,48,2.5,1024.0,20000,2.3.1,12.1,NVIDIA GeForce MX570 A
r2_home_fpn48_lr0750_seed2_100e,Home FPN48 LR0.00075 seed2 (partial),results.7 half.zip,50,100,50,47,0.2242252761032432,0.492946058511734,0.1770137250423431,0.7434789319339404,0.3883424701709126,0.5101943547105863,0.5403048396110535,0.194580078125,0.0045871559633027,0.2017281488866733,0.560216745324244,0.6659973226238286,1.610865420351426,1.3751539509791832,0.23571146937224285,0.5439266562461853,45,0.1829833984375,0.2206409914942924,0.4893127260769484,1.621728892127673,0.2187627748701197,0.0038967919206424955,0.0035842846089507996,0,0,4.536104058600091,20.291305619628513,0.3596968650817871,13.51156940258333,1,,False,True,True,4168168,20260813,0.00075,48,2.0,1024.0,20000,2.3.1,12.1,NVIDIA GeForce MX570 A
r2_school4_fpn40_lr1000,S4 FPN40 LR0.001,results.13.zip,50,70,50,30,0.2183445923845283,0.4960699677467346,0.1612136512994766,0.7199659187730758,0.4087391164140599,0.521443998765813,0.542992889881134,0.21435546875,0.015137614678899,0.2758391492190096,0.5645866107323895,0.6539491298527443,1.6042177751660347,1.431413965875452,0.1728038092905826,0.542992889881134,30,0.21435546875,0.2025800354560488,0.462096684157642,1.6429829690605402,0.20232685488634158,0.004047715349807528,0.0157645569284795,0,0,4.049529411343785,41.01786884635656,0.3336291313171386,7.369346121805548,1,0,True,True,True,4050600,20260811,0.001,40,2.0,1024.0,20000,2.3.1,12.1,NVIDIA GeForce MX570 A
r2_school2_fpn48_lr0750,S2 FPN48 LR0.00075,results.9.zip,50,70,50,25,0.2084137741447193,0.4644919335842132,0.1602471619844436,0.7882608695652173,0.2923250564334085,0.4264878852034815,0.5131311416625977,0.1795654296875,0.0013761467889908,0.1332668660684612,0.3791295228106974,0.7048192771084337,1.6247017985830703,1.473412164387765,0.1512896341953054,0.5132938623428345,18,0.17236328125,0.1943282423802884,0.4193790830779904,1.6572457340856392,0.18755491894466103,0.00297621576632587,0.014085531764430892,0,0,4.935395589664385,39.60825183074135,0.3610701560974121,7.711474440916671,1,0,True,True,True,4168168,20260811,0.00075,48,2.0,1024.0,20000,2.5.1+cu121,12.1,NVIDIA GeForce MX570 A
r2_school1_fpn48_lr1000_seed2,S1 FPN48 LR0.001 seed2,results.8.zip,50,70,50,13,0.2063909784483257,0.4717678427696228,0.151028111577034,0.8493530499075785,0.2222670106417284,0.352332268370607,0.5243737101554871,0.159912109375,0.0082568807339449,0.1608507809903622,0.2496067121132669,0.5535475234270415,1.63941659219563,1.554090292345394,0.08532629985023599,0.5243737101554871,13,0.159912109375,0.1597098797210492,0.3606327709999416,1.6855459591994684,0.1583784385453327,0.005717832891536236,0.04668109872727652,0,0,3.484286146349721,40.90027133527752,0.3596968650817871,7.430373008416674,1,0,True,True,True,4168168,20260813,0.001,48,2.0,1024.0,20000,2.3.1,12.1,NVIDIA GeForce MX570 A
r2_school3_fpn48_lr0500,S3 FPN48 LR0.0005,results.10.zip,50,70,50,21,0.1944036633576615,0.4618237316608429,0.1279141455888748,0.7696651090342679,0.3186875201547888,0.4507411630558723,0.5180206298828125,0.1866455078125,0.0027522935779816,0.1967431040212695,0.4111169375983219,0.6713520749665328,1.6740463599562645,1.5372146077744373,0.1368317521818272,0.5200634002685547,30,0.2095947265625,0.1816699953953502,0.4461521450685537,1.7040934016307194,0.1801305470101942,0.0026060319195018392,0.01273366796231129,0,0,6.877962261980231,41.402209050417326,0.3610701560974121,6.874457550749996,6,"1,1,1,1,0",True,True,True,4168168,20260811,0.0005,48,2.0,1024.0,20000,2.5.1+cu121,12.1,NVIDIA GeForce MX570 A
r2_school5_fpn56_lr1000,S5 FPN56 LR0.001,results.12.zip,50,70,50,16,0.1820771074504591,0.4209243953227997,0.1283739656209945,0.5424254966887417,0.4226056110931957,0.4750770346202646,0.4792174100875854,0.2286376953125,0.0087155963302752,0.2170156198072449,0.590805803181262,0.7965194109772423,1.6663518690814574,1.5117198371267937,0.15463203195466368,0.4985092580318451,17,0.232177734375,0.1557641826948383,0.4174738473459898,1.733428825934728,0.15225755749910602,0.0033340807982153754,0.026312924755620803,0,0,3.6324175002512993,40.21309813290267,0.3962292671203613,7.382924710055558,4,"1,1,1,0",True,True,True,4286248,20260811,0.001,56,2.0,1024.0,20000,2.3.1,12.1,NVIDIA GeForce MX570 A
